"Your payment is complete", "تمت عملية الدفع بنجاح"
"MyFatoorah: Not all of your products are available in the requested quantity.", "ماي فاتورة: لا تتوافر الكمبة المطلوبة للمنتجات في هذا الطلب"
"SandBox (test account)", "نظام الإختبار"
"How would you like to pay?", "كيف تريد أن تدفع ؟"
"Pay With", "دفع من خلال"
"Or ", "أو "
"Insert Card Details", "إدخال بيانات البطاقة"
"Name On Card", "اسم صاحب البطاقة"
"Number", "رقم البطاقة"
"MM / YY", "YY / MM"
"CVV", "CVV"
"DHL", "دي اتش إل"
"Aramex", "أرامكس"
"Kindly, contact the site admin to set weight and dimensions for ","الرجاء التواصل مع مدير الموقع لإضافة الوزن و الأبعاد الخاصة بالمنتج "
